2a06:a005:8a0::/44,TW,TW-TPE,Tai Pei,,
2a06:a005:1c78::/48,JP,JP-13,Tokyo,,
2a06:a005:1870::/48,AU,AU-NSW,Sydney,,
2a12:dd47:8e70::/44,JP,JP-13,Tokyo,,
2a12:3fc2:ab71::/48,US,US-CA,san jose,,
2a12:3fc2:ab72::/48,US,US-CA,san jose,,
2a12:3fc2:ab73::/48,LU,LU-L,,,
2a12:3fc2:ab74::/48,DE,DE-RP,Frankfurt,,
2a12:3fc2:ab77::/48,HK,,Hong Kong,,
2a12:3fc2:ab78::/48,US,US-WA,Seattle,,
2a12:dd47:f000::/40,TW,TW-TPE,Tai Pei,,
2a12:dd47:f001::/48,TW,TW-TPE,Tai Pei,,
2a12:dd47:f002::/48,US,US-WA,Seattle,,
2a12:dd47:f003::/48,RU,RU-MOS,Moscow,,
2a12:dd47:f004::/48,US,US-WA,Seattle,,
2a12:dd47:f005::/48,SG,SG-01,Singapore,,
2a12:dd47:f006::/48,PH,PH-00,Metro Manila,,
2a12:dd47:f007::/48,MY,MY-14,Kuala Lumpur,,
2a12:dd47:f008::/48,MY,MY-14,Kuala Lumpur,,
2a12:dd47:f009::/48,CA,CA-ON,Toronto,,
2a12:dd47:f00a::/48,NL,NL-NH,Amsterdam,,
2a12:dd47:f00b::/48,HK,,Hong Kong,,
2a12:dd47:f00c::/48,HK,,Hong Kong,,
2a12:dd47:f00d::/48,HK,,Hong Kong,,
2a0a:280:1701::/48,TW,TW-TPE,Tai Pei,,
2a0a:280:1702::/48,TW,TW-TPE,Tai Pei,,
2a0a:280:1703::/48,TW,TW-TPE,Tai Pei,,
2a0a:280:1704::/48,US,US-CA,san jose,,
2a0a:280:1705::/48,US,US-CA,Los Angeles,,
2a0a:280:1706::/48,US,US-WA,Seattle,,
2a0a:280:1707::/48,SG,SG-01,Singapore,,
2a0a:280:1708::/48,SG,SG-01,Singapore,,
2a0a:280:1709::/48,SG,SG-01,Singapore,,
2a0a:280:170a::/48,JP,JP-13,Tokyo,,
2a0a:280:170b::/48,JP,JP-13,Tokyo,,
2a0a:280:170c::/48,JP,JP-13,Tokyo,,
2a0a:280:170d::/48,HK,,Hong Kong,,
2a0a:0280:1720::/44,TW,TW-TPE,Tai Pei,,
2a0a:0280:1730::/44,US,US-CA,san jose,,
2a0a:0280:1740::/44,US,US-WA,Seattle,,
2a0a:0280:1750::/44,SG,SG-01,Singapore,,
2a0a:0280:1760::/44,JP,JP-13,Tokyo,,
2a0a:0280:1770::/44,GB,GB-LND,London,,
2a0a:0280:1780::/44,DE,DE-RP,Frankfurt,,
2a0a:0280:1790::/44,HK,,Hong Kong,,
2a0a:0280:17a0::/44,HK,,Hong Kong,,
2a13:a5c6:1000::/36,HK,,Hong Kong,,
2a13:a5c6:2000::/36,JP,JP-13,Tokyo,,
2a13:a5c6:3000::/36,SG,SG-01,Singapore,,
2a13:a5c6:4000::/36,TW,TW-TPE,Tai Pei,,
2a13:a5c6:5000::/36,US,US-CA,san jose,,
2a13:a5c6:6100::/40,KR,KR-11,Seoul,,
2a13:a5c6:6300::/40,AR,AR-B,Buenos Aires,,
2a13:a5c6:6400::/40,PK,PK-PB,Lahore,,
2a13:a5c6:6500::/40,GB,GB-LND,London,,
2a13:a5c6:6600::/40,TR,TR-34,Istanbul,,
2a13:a5c6:6700::/40,DE,DE-BW,Goeppingen,,
2a13:a5c6:6800::/40,PH-00,Metro Manila,,,
2a13:a5c6:7100::/40,CA,CA-ON,Toronto,,
2a13:a5c6:7200::/40,IN,IN-DL,,,
2a13:a5c6:7300::/40,BR,BR-SP,São Paulo,,
2a13:a5c6:7400::/40,FR,FR-IDF,Paris,,
2a13:a5c6:7500::/40,AU,AU-VIC,Melbourne,,
2a13:a5c6:7600::/40,GB,GB-LND,London,,
2a13:a5c6:7800::/40,SA,SA-04,Riyadh,,
2a13:a5c6:8100::/40,NG,NG-FC,Abuja,,
2a13:a5c6:9100::/40,CN,CN-BJ,Beijing,,
103.220.218.0/24,TW,TW-TPE,Tai Pei,,
210.79.151.0/24,TW,TW-TPE,Tai Pei,,
43.255.121.0/24,HK,,Hong Kong,,
23.26.112.0/24,US,US-CA,san jose,,
206.237.119.0/24,HK,,Hong Kong,,
